days,correlations
16,0.33255696681677027
14,0.2773710216550332
14,0.27034536249107194
20,0.21515258827786396
28,0.3882064060599046
15,0.3360738565400054
22,0.2962304316892462
27,0.4747016025178765
16,0.43241227878323335
14,0.1742017929304276
19,0.2339703660776648
21,0.2608667643261712
17,0.4247334237238926
15,0.20858204027287172
22,0.24750806135277442
19,0.2357990229820981
16,0.35792991572930793
20,0.2674740015405562
21,0.11943642078628337
11,0.26428100799655585
11,0.28120291241374223
12,0.23313867358006235
18,0.2034843319483559
15,0.2517874792415339
15,0.17718535409586247
19,0.18849636204909886
16,0.4123141775007198
15,0.22234954131546583
17,0.17641112401859976
21,0.22488941083292474
20,0.2817453627369605
16,0.44746804656175587
21,0.22382107018670805
16,0.32190968647350676
12,0.6323575685722209
14,0.3810515800085774
16,0.24002306291458084
17,0.41281889286177986
12,0.3213475734631412
18,0.5631678576264227
15,0.4388366876397233
14,0.22571487256942369
17,0.16030048248344195
15,0.3864043697785779
19,0.2992978724236847
18,0.2518026279233305
13,0.25390667408733203
19,0.1524517644520217
16,0.46438183994496496
17,0.31333016968042043
16,0.26779997726685567
24,0.2698131926051735
27,0.3079154742673036
16,0.3018433451292706
13,0.05352605345572787
28,0.34531121400777276
14,0.09711042358876505
20,0.16952749821506782
12,0.47945297503780243
9,0.16384940922006397
16,0.3483156536637114
18,0.22280734980043057
22,0.31007421496049237
24,0.3147654660518972
14,0.37361953253929564
21,0.2088020602090083
18,0.2768234240673347
20,0.25152848721156423
27,0.3400977288366298
16,0.6153264657301315
21,0.3000727556278175
14,0.3217645981823686
13,0.052229693043748894
18,0.24871876340199395
13,0.39724310623598774
14,0.15930718168388625
21,0.21964490487229277
6,0.10699806695414206
15,0.25107942335892003
14,0.2468477391706388
26,0.18581764555438784
15,0.3400710465162155
28,0.09363220352509254
15,0.33489598540969306
26,0.17299117540110429
21,0.14678142110360978
13,0.27322609641095214
22,0.23652514114127005
22,0.23407374685852833
19,0.4419067510491324
14,0.10161618653775395
11,0.14702585858569914
21,0.3033079642783729
22,0.32188866233065194
18,0.6019663258671837
22,0.22172452087832692
22,0.31399274957155404
19,0.32382852779344795
45,0.334260767225802
27,0.184637391466199
14,0.4054501923390133
16,0.407906792394208
13,0.4205343424548537
17,0.19885224907072
20,0.16088269162178898
15,0.5337171238800825
13,0.23682145944469288
20,0.1271534898442375
25,0.21906516433488363
13,0.4964995022011484
17,0.22020545961741295
14,0.5412275788967909
9,0.3663386331474232
23,0.3463199015428911
21,0.24855270285625883
11,0.17750566608602508
23,0.21916935614436825
29,0.22743635686306832
15,0.09713348231587134
18,0.2049395173577476
14,0.1435368142009448
20,0.19126405175398212
28,0.23955328032154133
23,0.2175642897494181
9,0.20088369182765153
14,0.1825368537063138
27,0.1262405359182783
14,0.20604870878529724
13,0.2684746548844968
34,0.13660399901584575
30,0.15076376030649244
19,0.20495618605393162
17,0.34938374538389627
10,0.23410261742203536
25,0.18816856561940384
10,0.45469228125996886
19,0.25211215609991694
21,0.12197338279998697
12,0.3318111979461398
18,0.21027376884635815
14,0.2693787453206122
23,0.29637466057665895
19,0.36648269016734447
23,0.14304896691233002
13,0.22345243920876134
17,0.22478879371386928
20,0.44350403662510257
19,0.13690929794967913
16,0.2836736783609259
16,0.21930168269007105
17,0.2995249040492706
13,0.21741179813753359
15,0.09687117780795486
22,0.23286769884296168
25,0.28807511123501894
21,0.30363684316731815
20,0.2595641425535865
22,0.2637568477231908
21,0.3639020106217219
20,0.33337734319795065
16,0.17036357235169397
21,0.07588847442630715
21,0.3041292659509373
25,0.15737538361120398
12,0.19845768118623439
7,0.038835894402906905
6,0.08517183615020235
1,0.03428649230160036
21,0.22491241572922915
23,0.15184461351863116
16,0.4810408902912715
14,0.09235064518621611
17,0.2589383203306695
16,0.15243246908314234
18,0.3171524805211842
23,0.238946240114082
20,0.055731093358537
25,0.2142921876457979
15,0.25671834907105273
9,0.1248698099142851
22,0.42163350976708563
18,0.21769520570550477
18,0.28910045837344417
13,0.3026244008235952
17,0.27319670332562457
8,0.11410644314499767
26,0.0742834698583564
23,0.2215063914780802
17,0.23300787136260392
13,0.3153555985451088
31,0.21664964235291265
18,0.13082246169380665
21,0.18382436654190662
7,0.16088344896955936
25,0.15427396096869198
18,0.10842021122647491
33,0.2547002167674518
24,0.2052346715853158
27,0.21344300774194844
22,0.4823627703612147
5,0.04846040397263865
23,0.10420940807242346
19,0.303967277969465
31,0.20789230959458682
22,0.015704958540040774
10,0.26154938779775516
18,0.24687305003172744
13,0.23693703065569
17,0.28736703928383334
26,0.19970063855846043
20,0.1816005438427945
17,0.16830219670793586
18,0.24727523296658868
21,0.1336505218267309
25,0.24314481027615406
23,0.14620038431429613
21,0.2827641028813368
24,0.06791929681813928
20,0.24273651721485956
11,0.1519942467640882
16,0.27960722014709044
13,0.03130030644805365
11,0.1241254968101621
18,0.10646263123931406
30,0.09412252494447763
2,0.168038761702762
16,0.37271386976546944
15,0.34976417733802884
47,0.28174593189930247
14,0.17098399262895614
17,0.19587476852516664
10,0.1623387262421933
2,0.3276651667333412
15,0.32353379634596746
15,0.19046576093801654
28,0.18938051856619836
22,0.19518727717826026
3,0.21596007811314896
29,0.11610179122817277
14,0.305879606262018
12,0.2815014411212476
19,0.21081678762850745
21,0.33068230862790665
23,-0.004212340039018194
6,0.1947244968557488
17,0.024482917517988704
